service_type,dentist_experience_years,patient_type,day_of_week,appointment_time,avg_duration
Extraction,24,Adult,Saturday,Afternoon,22.23
Upper denture metal,2,Adult,Saturday,Morning,71.49
Extraction,2,Adult,Tuesday,Morning,20.8
Plaque and bleeding scores,23,Child,Thursday,Afternoon,7.09
Crown prep,5,Child,Monday,Afternoon,53.49
Upper denture acrylic,25,Adult,Thursday,Afternoon,75.68
Root canal multi,3,Child,Saturday,Morning,80.02
Fluoride varnish,9,Child,Friday,Morning,3.71
Fluoride varnish,15,Adult,Thursday,Morning,4.4
Plaque and bleeding scores,9,Adult,Saturday,Afternoon,7.03
Preventive advice,11,Child,Thursday,Afternoon,6.14
Lower denture metal,16,Adult,Wednesday,Afternoon,82.26
Lower denture metal,23,Child,Tuesday,Afternoon,77.42
Upper denture metal,8,Adult,Friday,Morning,71.73
Upper denture acrylic,23,Adult,Saturday,Afternoon,72.47
Bridge prep conventional,6,Adult,Wednesday,Afternoon,57.29
Root canal single,1,Child,Saturday,Afternoon,48.16
Radiographs,11,Adult,Friday,Afternoon,4.57
Prescription of medicines,15,Child,Wednesday,Afternoon,7.26
Extraction,9,Adult,Friday,Afternoon,23.99
Prescription of medicines,3,Adult,Monday,Afternoon,7.69
Preventive advice,12,Child,Tuesday,Morning,6.28
Permanent filling,5,Child,Tuesday,Afternoon,21.15
Bridge prep conventional,4,Adult,Wednesday,Afternoon,57.99
Root surface debridement,3,Adult,Friday,Afternoon,31.35
Upper denture metal,20,Adult,Friday,Morning,82.16
Examination acute,13,Child,Monday,Afternoon,11.54
Crown prep,16,Child,Monday,Morning,51.57
Preventive advice,24,Child,Thursday,Morning,6.34
Root canal single,9,Child,Friday,Afternoon,49.39
Permanent filling,20,Child,Tuesday,Afternoon,22.97
Plaque and bleeding scores,15,Adult,Wednesday,Afternoon,6.52
Bridge prep conventional,9,Adult,Wednesday,Afternoon,57.14
Crown prep,15,Child,Wednesday,Afternoon,45.72
Lower denture metal,19,Adult,Tuesday,Afternoon,71.24
Examination routine,24,Adult,Thursday,Afternoon,9.17
Root canal single,16,Child,Thursday,Morning,47.19
Upper denture acrylic,25,Child,Tuesday,Morning,66.75
Scale and polish,24,Adult,Wednesday,Afternoon,8.47
Preventive advice,24,Child,Friday,Afternoon,5.78
Lower denture acrylic,24,Child,Wednesday,Afternoon,69.98
Fluoride varnish,7,Adult,Friday,Morning,4.16
Examination acute,12,Child,Saturday,Afternoon,10.8
