service_type,dentist_experience_years,patient_type,day_of_week,appointment_time,avg_duration
Upper denture acrylic,23,Adult,Tuesday,Afternoon,63.96
Prescription of medicines,7,Child,Monday,Morning,8.77
Examination acute,8,Child,Monday,Morning,11.37
Upper denture metal,15,Child,Tuesday,Morning,84.68
Root surface debridement,5,Adult,Saturday,Morning,29.37
Scale and polish,3,Child,Monday,Afternoon,9.15
Clinical note reading,24,Child,Thursday,Morning,4.08
Permanent filling,25,Child,Monday,Afternoon,24.31
Examination routine,3,Adult,Tuesday,Morning,10.37
Upper denture metal,2,Child,Tuesday,Afternoon,83.35
Extraction,10,Child,Monday,Morning,22.29
Upper denture metal,18,Child,Thursday,Afternoon,80.55
Lower denture acrylic,10,Adult,Monday,Afternoon,64.72
Root surface debridement,20,Child,Friday,Morning,29.8
Prescription of medicines,12,Adult,Saturday,Morning,7.57
Lower denture acrylic,17,Adult,Thursday,Morning,71.68
Scale and polish,6,Adult,Tuesday,Morning,9.19
Plaque and bleeding scores,17,Child,Wednesday,Morning,6.59
Upper denture metal,7,Child,Saturday,Morning,85.26
Lower denture acrylic,7,Child,Thursday,Afternoon,73.77
Root canal multi,9,Adult,Wednesday,Afternoon,70.9
Root canal multi,7,Child,Tuesday,Morning,74.47
Upper denture metal,16,Child,Tuesday,Afternoon,85.88
Fluoride varnish,12,Child,Wednesday,Afternoon,3.95
Permanent filling,3,Adult,Monday,Morning,23.56
Extraction,10,Child,Friday,Afternoon,23.43
Plaque and bleeding scores,5,Adult,Friday,Afternoon,6.43
Root canal multi,12,Adult,Saturday,Morning,71.81
Lower denture metal,20,Adult,Wednesday,Afternoon,85.41
Root canal multi,1,Child,Tuesday,Morning,73.28
Preventive advice,24,Adult,Thursday,Afternoon,5.88
Radiographs,17,Child,Tuesday,Afternoon,4.81
Lower denture metal,8,Child,Wednesday,Afternoon,85.5
Examination acute,10,Child,Tuesday,Morning,12.07
Permanent filling,18,Adult,Wednesday,Afternoon,24.21
Examination acute,6,Child,Thursday,Morning,11.15
Radiographs,19,Adult,Monday,Morning,4.56
Bridge prep conventional,8,Adult,Thursday,Morning,65.28
Permanent filling,21,Child,Thursday,Afternoon,23.77
Extraction,17,Adult,Friday,Morning,23.74
Lower denture acrylic,6,Child,Thursday,Afternoon,66.14
Lower denture metal,9,Child,Thursday,Afternoon,71.02
Clinical note reading,15,Child,Tuesday,Morning,4.07
Clinical note reading,7,Adult,Saturday,Morning,3.89
Extraction,8,Adult,Tuesday,Afternoon,20.35
Examination acute,21,Child,Friday,Afternoon,11.98
Clinical note reading,20,Adult,Friday,Afternoon,3.83
Plaque and bleeding scores,22,Child,Monday,Morning,6.86
Scale and polish,7,Adult,Monday,Afternoon,8.11
Root canal single,10,Child,Monday,Morning,43.42
Fluoride varnish,13,Child,Saturday,Morning,4.27
Bridge prep conventional,20,Adult,Wednesday,Afternoon,67.71
Scale and polish,25,Adult,Monday,Morning,8.79
Examination acute,16,Adult,Thursday,Morning,10.82
Fluoride varnish,13,Child,Saturday,Afternoon,3.81
Clinical note reading,11,Adult,Tuesday,Morning,4.35
Prescription of medicines,23,Child,Tuesday,Morning,7.95
Prescription of medicines,17,Child,Saturday,Afternoon,7.39
